Fragment_length	Missing_sites	GCGC-GCGC	Sum
1548	0	183	183
1549	0	216	216
1550	0	206	206
1551	0	207	207
1552	0	235	235
1553	0	222	222
1554	0	199	199
1555	0	195	195
1556	0	212	212
1557	0	188	188
1558	0	203	203
1559	0	228	228
1560	0	216	216
1561	0	197	197
1562	0	202	202
1563	0	226	226
1564	0	197	197
1565	1	220	221
1566	0	214	214
1567	0	212	212
1568	0	199	199
1569	0	184	184
1570	0	179	179
1571	0	222	222
1572	0	220	220
1573	0	224	224
1574	0	194	194
1575	0	192	192
1576	0	207	207
1577	0	198	198
1578	0	199	199
1579	0	200	200
1580	0	208	208
1581	0	217	217
1582	0	207	207
1583	0	187	187
1584	0	187	187
1585	0	199	199
1586	0	193	193
1587	0	181	181
1588	0	197	197
1589	0	193	193
1590	0	208	208
1591	0	204	204
1592	0	214	214
1593	0	196	196
1594	0	220	220
1595	0	190	190
1596	0	214	214
1597	0	198	198
1598	0	221	221
1599	0	185	185
1600	0	197	197
1601	0	190	190
1602	0	206	206
1603	0	208	208
1604	0	195	195
1605	0	182	182
1606	0	186	186
