Fragment_length	Missing_sites	CCGG-CCGG	Sum
1427	0	301	301
1428	0	340	340
1429	0	303	303
1430	0	322	322
1431	0	303	303
1432	0	299	299
1433	0	323	323
1434	0	333	333
1435	0	305	305
1436	0	304	304
1437	0	332	332
1438	0	280	280
1439	0	270	270
1440	0	291	291
1441	0	339	339
1442	0	292	292
1443	0	293	293
1444	0	320	320
1445	0	346	346
1446	0	294	294
1447	0	276	276
1448	0	306	306
1449	0	314	314
1450	0	336	336
1451	0	309	309
1452	0	303	303
1453	0	325	325
1454	0	303	303
1455	0	291	291
1456	0	286	286
1457	0	319	319
1458	0	300	300
1459	0	317	317
1460	0	302	302
1461	0	333	333
1462	0	330	330
1463	0	325	325
1464	0	297	297
1465	0	337	337
1466	0	291	291
1467	0	341	341
1468	0	291	291
1469	0	296	296
1470	0	288	288
1471	0	294	294
1472	0	294	294
1473	0	323	323
1474	0	325	325
1475	0	274	274
1476	0	301	301
1477	0	341	341
1478	0	277	277
1479	0	305	305
1480	0	347	347
1481	0	297	297
1482	0	287	287
1483	0	311	311
1484	0	326	326
1485	0	308	308
1486	0	297	297
1487	0	299	299
1488	0	316	316
1489	0	314	314
1490	0	284	284
1491	0	291	291
1492	0	328	328
1493	0	287	287
1494	0	308	308
1495	0	271	271
1496	0	358	358
1497	0	291	291
1498	0	321	321
1499	0	306	306
1500	0	304	304
1501	0	291	291
1502	0	280	280
1503	0	323	323
1504	0	267	267
1505	0	270	270
1506	0	262	262
1507	0	296	296
1508	0	299	299
1509	0	286	286
1510	0	293	293
1511	0	298	298
1512	0	310	310
1513	0	299	299
1514	0	318	318
1515	0	320	320
1516	0	303	303
1517	0	280	280
1518	0	305	305
1519	0	261	261
1520	0	285	285
1521	0	306	306
1522	0	280	280
1523	0	298	298
1524	0	308	308
1525	0	302	302
1526	0	287	287
1527	0	273	273
1528	0	299	299
1529	0	306	306
1530	0	296	296
1531	0	273	273
1532	0	320	320
1533	0	303	303
1534	0	294	294
1535	0	333	333
1536	0	274	274
1537	0	296	296
1538	0	280	280
1539	0	304	304
1540	0	306	306
1541	0	302	302
1542	0	311	311
1543	0	288	288
1544	0	309	309
1545	0	289	289
1546	0	321	321
1547	0	296	296
1548	0	340	340
1549	0	288	288
1550	0	281	281
1551	0	339	339
1552	0	300	300
1553	0	293	293
1554	0	308	308
1555	0	288	288
